language,term,system,truth,score
fr,the map section is an overview of the current area you are working on clicking on show risk shows the risk map overlayed on the main screen the risk map has 5 levels of risk which range from green to violet as seen below violet tiles are at most risk green at the least risk this section shows your selected disaster and difficulty level keep and eye on the probability indicator as it moves further along the chances of a disaster occurring increase make sure you have all your houses and defences in place before the hazard strikes,carte de risque,"La carte est une vue d'ensemble du secteur sur lequel vous travaillez. Cliquer sur « RISQUE » permet d'afficher une carte des risques sur l'écran principal. Cette carte des risques comporte 5 niveaux qui vont du vert au violet comme sur la vue ci-dessous. Le niveau du plus haut risque est en violet, celui du plus bas risque est en vert. Cette section indique la catastrophe sélectionnée et son niveau de difficulté. Surveillez l'indicateur de probabilité. Plus il avance, plus les chances qu'une catastrophe se produise augmentent. Assurez-vous que toutes vos maisons et défenses sont en place avant que le danger ne survienne.",0.00
fr,this section shows your selected disaster and difficulty level keep and eye on the probability indicator as it moves further along the chances of a disaster occurring increase make sure you have all your houses and defences in place before the hazard strikes,Indice de probabilité de catastrophe,"Cette section indique la catastrophe sélectionnée et son niveau de difficulté. Surveillez l'indicateur de probabilité. Plus il avance, plus les chances qu'une catastrophe se produise augmentent. Assurez-vous que toutes vos maisons et défenses sont en place avant que le danger ne survienne.",0.11
fr,the citys population target is here along with the number of people that have made it to a shelter once any early warning systems have kicked in,Population dans l'abri sûr,Les objectifs concernant la population des villes sont inscrits ici. Ainsi que le nombre de personnes qui se sont abritées après que tous les systèmes de première alerte se sont mis en marche.,0.21
fr,stop disasters,Stop Disasters,Arrêtons les catastrophes,0.46
fr,now everyone required has been housed well done if you still have some money left you might like to build some more defences would you like to trigger the disaster now with the present level of protection,"Maintenant, tout le monde requis a été logé ! Bien joué. Si vous avez encore de l'argent, vous pourriez vouloir construire davantage de défenses. Souhaitez‑vous déclencher la catastrophe maintenant avec le niveau de protection actuel ?","À présent, tout le monde est hébergé ! Bien joué. S'il vous reste de l'argent, vous pouvez ajouter d'autres moyens de défense. Souhaitez-vous déclencher la catastrophe maintenant, avec le niveau actuel de protection?",0.29
fr,it seems you are running out of money you can start the disaster now if youd like to see the results of your planning,Il semble que vous manquiez d'argent... Vous pouvez commencer la catastrophe dès maintenant si vous souhaitez voir les résultats de votre planification.,Il semble que vous soyez à court d'argent… Vous pouvez déclencher la catastrophe dès maintenant si vous souhaitez voir les résultats de votre action.,0.89
fr,select a scenario,Sélectionner un scénario,Choisissez un scénario,0.61
fr,south east asia,Asie du Sud-Est,Sud-Est asiatique,0.40
fr,lowland hills,Collines de basse altitude,Collines et plaines,0.58
fr,easterncentral europe,Europe centrale et orientale,Europe de l'Est/centrale,0.60
fr,valley flood plains,plaines inondables de vallée,Plaines inondables,0.78
fr,the caribbean,Les Caraïbes,Amérique centrale,0.14
fr,caribbean island,île des Caraïbes,Îles des Caraïbes,0.97
fr,daily news post,Publication d'actualité quotidienne,Nouvelles du jour,0.27
fr,view scene,Vue de scène,Voir la scène,0.64
fr,view report,Afficher le rapport,Voir le rapport,0.76
fr,population housed,Population hébergée,Personnes logées,0.40
fr,population sheltered,Population abritée,Personnes à l'abri,0.46
fr,total damages,dommages totaux,Totalité des dégâts,0.24
fr,population died,Population décédée,Pertes humaines,0.36
fr,population injured,Population blessée,Personnes blessées,0.61
fr,school built,École construite,{{SCHOOL}} construite,0.85
fr,hospital built,hôpital construit,{{HOSPITAL}} construit,0.97
fr,bonus,prime,Bonus,0.00
fr,key facts found,Faits clés trouvés,Action-clé trouvée,0.69
fr,pass,passer,Réussi,0.33
fr,well done,Bien fait!,Félicitations!,0.27
fr,unlucky,malchanceux,Pas de chance!,0.58
fr,well done you completed all your objectives for this scenario and got a final score of score,"Bien joué, vous avez accompli tous vos objectifs pour ce scénario et avez obtenu un score final de {{SCORE}}.","Bien joué, vous avez rempli tous vos objectifs et réalisé un score final de {{SCORE}}.",0.80
fr,unfortunately you did not meet the required objectives for this scenario to qualify for high score entry try again or return to the main menu to select a different disaster challenge,"Malheureusement, vous n'avez pas atteint les objectifs requis pour ce scénario afin d'être admis dans le classement des meilleurs scores. Réessayez ou retournez au menu principal pour sélectionner un autre défi de catastrophe.","Malheureusement, vous n'avez pas rempli les objectifs de ce scénario. Vous ne pouvez pas figurer dans le tableau des meilleurs scores. Essayez à nouveau ou revenez au menu principal pour choisir un autre risque naturel.",0.22
fr,try again,Réessayer,Essayez encore,0.61
fr,continue,continue,Continuer,0.94
fr,development defences,Développement de défenses,Développement: Défenses,0.94
fr,development structures,Structures de développement,Développement: Structures,0.51
fr,clearance  preparation,Préparation des données,Coût de la déblaiement et préparation,0.37
fr,item,élément,Article,0.29
fr,items,éléments,Articles,0.38
fr,unhoused,sans-abri,Pas logé,0.12
fr,housed,houssé,Logé,0.40
fr,sheltered,protégé,À l'abri,0.14
fr,show risk,Afficher le risque,MONTRER LE RISQUE,0.69
fr,start disaster,début de la catastrophe,Déclenchez la catastrophe,0.75
fr,confirm,confirmation,CONFIRMER,0.67
fr,the terrain andor object on this tile is different to your last build therefore the cost of this action is different continue,"Le terrain et/ou l'objet sur cette tuile est différent de votre dernier bâtiment. Par conséquent, le coût de cette action est différent. Continuer ?","Le terrain et/ou l'objet de cette case est différent de votre dernière construction. Par conséquent, le coût de cette action est différent. Continuer?",0.91
fr,are you sure,Êtes‑vous sûr ?,ÊTES-VOUS SÛR?,0.96
fr,are you sure you wish to quit,Êtes‑vous sûr de vouloir quitter ?,Êtes-vous sûr de vouloir abandonner?,0.79
fr,housing goal,objectif de logement,Programme de construction,0.40
fr,build,construction,Bâtir,0.24
fr,build,construction,Bâtir,0.24
fr,retrofit number old buildings,Réhabilitation de {{NUMBER}} bâtiments anciens,Moderniser {{NUMBER}} bâtiments anciens,0.73
fr,protect the wells by covering them up,Couvrir les puits,Protéger les points d'eau en couvrant les puits,0.48
fr,protect the sea port,Protéger le port maritime,Protéger le port,0.78
fr,max budget,budget maximal,Budget maximum,0.86
fr,max fatalities,maximum de victimes,Nombre maximal de décès,0.57
fr,approximately,approximativement,Environ,0.25
fr,until disaster,jusqu'à la catastrophe,jusqu'au désastre,0.65
fr,play game,jouer à un jeu,Jouer,0.53
fr,game developed by,Développé par,Jeu développé par,0.87
fr,the top bar,Barre supérieure,La Barre d'Outils,0.44
fr,the information panel,Panneau d'information,Le Tableau d'Information,0.79
fr,the main screen,écran principal,L'Écran Principal,0.97
fr,the objective of stop disasters is to save lives choose a scenario and try to build upon an established community providing defences and upgraded housing to prepare for the inevitable disaster,L'objectif de Stop Disasters est de sauver des vies. Choisissez un scénario et essayez de construire sur une communauté établie ; fournir des défenses et un logement amélioré pour se préparer à la catastrophe inévitable.,L'objectif du jeu Arrêtons les catastrophes ! est de sauver des vies. Choisissez un scénario et tentez de protéger une population locale ; préparez les défenses et renforcez les habitations pour affronter l'inévitable catastrophe.,0.33
fr,the top bar shows all the key facts youve collected along with a recap of the mission orders and a map in the overview section you can press the arrow for in game options and if you finish your mission objectives early you may speed up time with the start disaster button on the right,barre supérieure,"La Barre d'Outils vous montre toutes les actions-clés que vous aurez réalisées tout au long du jeu, ainsi qu'un récapitulatif des ordres de mission et une carte dans la rubrique « VUE D'ENSEMBLE ». Cliquez sur la flèche pour accéder aux options du jeu et, si vous remplissez les objectifs de votre mission plus vite que prévu, vous pouvez accélérer le temps en cliquant sur le bouton à droite « DÉCLENCHEZ LA CATASTROPHE ».",0.03
fr,the information panel shows important statistics about your population and budget along with a mini map and a vital probability indicator this indicator is your best guess at when the disaster is going to hit keep an eye on it,Panneau d'information,"Le Tableau d'Information vous fournit des statistiques importantes concernant votre population et votre budget, ainsi qu'une mini carte et un indicateur essentiel de « PROBABILITÉ ». Cet indicateur vous permet de prévoir quand va frapper la catastrophe. Gardez un œil sur lui.",0.11
fr,this is where the majority of your interaction will take place everything is controlled with the mouse and is designed to be as easy as possible clicking on any tile will bring up the tile clicker  a contextsensitive selection of the options that are available try clicking on different tiles to find out what actions are available some options cause popups or panels to come into view these will give you information or allow you to perform further actions on the selected tile,Cliqueur de tuiles,"C'est là que la plupart de vos interactions vont s'effectuer. Tout est commandé par la souris et a été conçu pour être aussi simple que possible. Si vous cliquez sur une case, vous déclencherez l'« Élévateur de Case » qui vous proposera les différentes options contextuelles possibles. Cliquez sur différentes cases pour découvrir les actions que vous pouvez entreprendre. Certaines options déclenchent l'affichage de messages ou de tableaux. Ils vous donneront des informations ou vous permettront d'exécuter d'autres actions sur la case sélectionnée.",0.01
fr,many experts and organisations participated in the content and the making of this game undrr secretariat would like to thank particularly • ana trehoan expert on education • charles kelly disaster management expert for the flood and hurricane scenario • johann g goldammer from the global fire monitoring center gfmc • fire ecology research group freiburg university  united nations university unu freiburg germany for the wildfire scenario • scott kiser and dennis feltgen national weather service tropical cyclone program leader for the hurricane scenario • laura s l kong director unescoioc international tsunami information centre honolulu for the tsunami scenario • melanie ashby from emergency management australia for the wildfire scenario and the pilot testing • brigitte leoni terry jeggle and many other undrr colleagues for their constant help support and useful remarks many organisations which supported the initiative from the beginning such as • m rimjhim from southern eastern efforts developing sustainable spaces india • the international federation of red cross and red crescent societies • action aid • the united states agency for international development • the united nations educational scientific and cultural organisation • the center for research on the epidemiology of disasters • jacques faye from the french ministry of ecology and sustainable development with thanks to the following people for the use of their photographs kevin conners michelle kwajafa carlos and leah and last but not least playerthree in particular pete everett and david streek,Remerciements,"Many experts and organisations participated in the content and the making of this game. UNDRR secretariat would like to thank particularly: • Ana Trehoan, expert on education; • Charles Kelly, Disaster Management Expert for the flood and hurricane scenario; • Johann G. Goldammer, from the Global Fire Monitoring Center (GFMC); • Fire Ecology Research Group, Freiburg University / United Nations University (UNU) Freiburg, Germany, for the wildfire scenario; • Scott Kiser, and Dennis Feltgen, National Weather Service, Tropical Cyclone Program Leader for the hurricane scenario; • Laura S. L. Kong, Director, UNESCO/IOC International Tsunami Information Centre, Honolulu, for the tsunami scenario; • Melanie Ashby, from Emergency Management Australia, for the wildfire scenario and the pilot testing; • Brigitte Leoni, Terry Jeggle and many other UNDRR colleagues for their constant help, support and useful remarks. Many organisations, which supported the initiative from the beginning, such as: • M. Rimjhim from Southern Eastern Efforts Developing Sustainable Spaces, India; • The International Federation of Red Cross and Red Crescent Societies; • Action Aid; • The United States Agency for International Development; • The United Nations Educational, Scientific and Cultural Organisation; • The Center for Research on the Epidemiology of Disasters; • Jacques Faye from the French Ministry of Ecology and Sustainable Development. With thanks to the following people for the use of their photographs: Kevin Conners, Michelle Kwajafa, Carlos and Leah. And last but not least Playerthree, in particular Pete Everett and David Streek.",0.00
fr,are you sure you will lose your progress,Êtes‑vous sûr ? Vous perdrez vos progrès.,Êtes-vous sûr? Vous perdrez vos progrès.,0.97
fr,if trained well the staff will be better prepared to protect occupants during disasters,"Si bien formé, le personnel sera mieux préparé à protéger les occupants lors des catastrophes.","S'il est convenablement formé, le personnel sera plus apte à protéger les occupants en cas de catastrophe.",0.78
fr,the stop disasters educational packs can be handed out to the pupils to increase disaster awareness and encourage safe practices,packs éducatifs « Stop Disasters »,Les dossiers pédagogiques Arrêtons les catastrophes ! peuvent être distribués aux élèves pour leur faire prendre conscience des aléas naturels et les encourager à s'exercer aux mesures de prévention.,0.18
fr,stop disasters,Stop Disasters,Arrêtons les catastrophes,0.46
fr,disaster awareness courses run over a 2 week period by an expert on disaster reduction pupils that attend will have a better chance of survival during emergencies,Cours de sensibilisation aux catastrophes,Les cours de sensibilisation aux aléas naturels se déroulent sur deux semaines et sont dispensés par un expert en gestion des risques. Les élèves présents à cette formation auront une plus grande chance de survie en cas d'urgence.,0.22
fr,traditionally in this region houses will be either flat footed resting directly on the ground or have shallow foundations less than 1m deep shallow foundations are easily scoured away by a tsunami wave and by the water as it retreats thus enormously weakening the structure deep foundations 23m are more expensive but offer superb resistance to wave scouring and provide inherently strong structures,fondation peu profonde,"Traditionnellement dans cette région, les maisons ont soit un plancher plat directement posé sur la terre, soit des fondations de moins d'un mètre de profondeur. Les fondations peu profondes sont facilement emportées par une vague de tsunami et par le reflux de l'eau, affaiblissant ainsi considérablement la structure. Des fondations plus profondes (2-3 mètres) sont plus chères, mais offrent une excellente résistance à la puissance des vagues et renforcent les structures.",0.00
fr,foundations,Fondements,Fondations,0.60
fr,reinforce the structure of the building to make it more resistant to possible damage in the event of disaster,renforcement structurel du bâtiment,Renforcer la structure d'un bâtiment offre une meilleure protection à ses occupants en cas de catastrophe.,0.43
fr,building reinforcement,renforcement de bâtiment,Renforcement des bâtiments,0.96
fr,signs can save lives when people are rushing to evacuate a location,Signalisation d'évacuation,Ces panneaux peuvent sauver des vies quand les gens se précipitent pour évacuer un lieu.,0.23
fr,organise drills and simulation exercises,organiser des exercices d'entraînement et de simulation,Organisation d'exercices d'alerte et de simulation.,0.78
fr,local alarms with sirens or loudspeakers can be the most basic and quickest way to alert people in time to take evasive action,système local de sirènes,"Les alertes locales par sirènes ou haut-parleurs peuvent être le moyen le plus simple et le plus rapide pour avertir les gens à temps, et leur permettre d'évacuer les lieux.",0.19
fr,local alarm system,Système d'alarme local,Système d'alerte locale,0.88
fr,telecommunications solution for issuing warning messages,Système de télécommunications pour l'émission de messages d'alerte,Solutions de télécommunication pour émettre des messages d'alerte.,0.80
fr,securing any electrics throughout the building can lower the risk of fires starting and causing the building to collapse from the fire,Mesures de sécurité incendie électrique,"Sécuriser les systèmes électriques d'un bâtiment peut réduire le risque d'incendies, entraînant l'effondrement du bâtiment.",0.25
fr,protect electrics,Protection électrique,Protection des équipements électriques,0.71
fr,secure any loose fittings in and around the house to prevent injury from falling debris however if the whole house collapses this will be no use,Sécuriser les fixations lâches,"Fixer tous les équipements non amarrés dans et autour de la maison empêche toute blessure occasionnée par la chute de débris. Cependant, si toute la maison s'effondre, cela n'aura servi à rien.",0.19
fr,secure fittings,raccords sécurisés,Sécurisation des équipements,0.39
fr,applying seismicresistant structural measures improves the resilience of buildings during disasters,Rétrofit sismique,application de mesures structurelles antisismiques améliore la résilience des bâtiments pendant les catastrophes.,0.20
fr,retrofit the building,rétrofit du bâtiment,Mise aux normes des bâtiments,0.53
fr,high windsearthquakes often will bring down power lines and telecommunications structures so it is important for them to be reinforced,Renforcement contre les vents forts et les séismes,"Les vents violents/séismes abattent souvent les lignes électriques et les structures de télécommunications, aussi est-il important de les renforcer.",0.25
fr,anchor heavy item,objet lourd d'ancrage,Ancrage des équipements lourds,0.28
fr,securing electrical systems can help to prevent costly electrical repairs after the floods,S'assurer des systèmes électriques peut aider à prévenir des réparations électriques coûteuses après les inondations.,La mise en sécurité des systèmes électriques permet d'éviter des réparations électriques coûteuses après une inondation,0.82
fr,raise heating and electrics,Chauffage et Électricité d'élévation,Surélévation des appareils de chauffage et électriques,0.47
fr,raising the building 13m from the ground hugely increases its integrity against flood waters allied with good foundations the building will allow much of the waters power to pass beneath it resulting in less damaging flooding,"Élever l'immeuble de 1 à 3 mètres du sol augmente considérablement son intégrité face aux eaux de crue. En association avec de bonnes fondations, le bâtiment permet à une grande partie de la puissance de l'eau de passer en dessous, entraînant des inondations moins destructrices.","La surélévation d'un bâtiment de 1 à 3 mètres au-dessus du sol augmente considérablement son intégrité par rapport aux eaux montantes. Associé à de bonnes fondations, le bâtiment supportera la puissance des eaux et sera moins endommagé.",0.31
fr,raised building,bâtiment surélevé,Surélévation des bâtiments,0.42
fr,asphalt roof,toit d'asphalte,...,0.00
fr,clay roof,toit en argile,...,0.00
fr,metal rooves provide good heat resistance with the addition of being very strong can withstand shocks from falling debris making the risk of irreparable building damage during wildfire much less,toiture métallique,"Les toitures métalliques, en plus d'être très solides, fournissent une bonne résistance à la chaleur et aux chocs dus à la chute de débris, réduisant le risque de dommages irréparables sur un immeuble pendant un feu de forêt.",0.09
fr,roof sprinkler,sprinkler de toit,Arroseur de toit,0.67
fr,simply mounting a sprinkler to your roof and providing a steady water supply can soak the roof vastly improving its fire resistance,système de sprinkleurs montés sur le toit,"La simple installation d'un arroseur sur votre toit, raccordé à une alimentation en eau, permet de mouiller le toit et d'améliorer considérablement sa résistance à la chaleur dégagée par un incendie.",0.19
fr,heat resistant and equally hard wearing against falling debris and embers great protection all round,Vêtement de protection thermique haute température,"Résistants à la chaleur et aux chocs, ils protègent de la chute de débris et de particules incandescentes.",0.23
fr,plywood shutters,volets en contreplaqué,...,0.00
fr,glass shutters,volets en verre,...,0.00
fr,wire shutters,volets en fil de fer,...,0.00
fr,providing a ladder and hose for the residents and soaking the roof can mean that extra few minutes for the people to get out alive or for the fire services to arrive,Fournir une échelle et un tuyau aux résidents et arroser le toit peut signifier quelques minutes supplémentaires pour que les gens s'échappent vivants ou pour que les services de secours arrivent.,"Fournir une échelle et un tuyau et arroser la toiture peut donner aux résidents quelques minutes supplémentaires pour sortir vivants d'un bâtiment en feu, ou permettre aux pompiers d'intervenir.",0.57
fr,building reinforcements,renforts structurels,Renforcement des bâtiments,0.35
fr,reinforce the structure of the building to help protect its occupants in the event of disaster,Renforcement structurel,Renforcer la structure d'un bâtiment offre une meilleure protection à ses occupants en cas de catastrophe.,0.30
fr,water tank protection,Protection des réservoirs d'eau,Protection des citernes d'eau,0.79
fr,you can protect your water tanks using fire resistant materials,Matériaux ignifuges pour protéger vos réservoirs d'eau.,Protégez vos citernes d'eau en utilisant des matériaux ignifugés.,0.33
fr,remove fuel sources,Suppression des sources de combustible,Suppression des sources combustibles,0.95
fr,excessive accumulation of fuel sources such as branches and debris around your home can catch fire,Accumulation excessive de combustibles,L'accumulation excessive de sources combustibles telles que des branches et des débris autour de votre maison peut nourrir le feu.,0.46
fr,water source upgrade,Amélioration de la source d'eau,Modernisation des points d'eau,0.61
fr,covering the well securely will reduce the possibility of the water source being contaminated,couvercle de puits,Couvrir les puits réduira le risque de contamination des points d'eau.,0.30
fr,secure roofing,toiture sécurisée,Sécurisation de la toiture,0.33
fr,securing the roofing strengthens the roof of a house to withstand hits from falling debris,Résistance aux impacts du toit,Sécuriser la toiture consiste à renforcer le toit d'une maison pour qu'il résiste aux chocs provoqués par la chute des débris.,0.26
fr,sewer backflow,inversion d'égout,Soupape anti-reflux des eaux d'égouts,0.39
fr,flooding can cause sewage to back up into the house causing damage that is difficult to repair and creating health hazards the sewer backflow valve prevents this,valve anti-retour d'égout,"Les inondations peuvent provoquer un reflux des eaux d'égouts dans la maison, occasionnant des dégâts difficilement réparables et créant des risques sanitaires. Une soupape anti-reflux permet d'éviter ces situations.",0.08
fr,storm shutters,volets pare-vents,Volets anti-tempête,0.59
fr,storm shutters provide some protection against the strong winds of a hurricane,volets de tempête,Ces volets assurent une certaine protection contre les vents violents d'un ouragan.,0.29
fr,secure boats and maritime industries,Navires sécurisés et industries maritimes,Sécurisation des bateaux et des industries maritimes,0.71
fr,when they are wellsecured boats will have a better chance to remain anchored and to suffer less damage,"Lorsque les bateaux sont bien sécurisés, ils auront une meilleure chance de rester ancrés et de subir moins de dommages.","Bien sécurisés, les bateaux ont plus de chance de rester ancrés et de subir moins de dégâts.",0.73
fr,waterproof sealant,mastic d'étanchéité,Joints étanches,0.55
fr,the waterproofing of buildings is a great way to secure a building from water leaking in and causing water damage to the interior,Impermeabilisation des bâtiments,L'étanchéité des constructions est un excellent moyen de protéger une construction des infiltrations et des dégâts provoqués par l'eau à l'intérieur,0.25
fr,it is very expensive to build anything in the ocean,Coût élevé de construction offshore,Construire quoi que ce soit dans l'océan coûte très cher.,0.33
fr,ocean waves,vagues océaniques,Vagues de l'océan,0.73
fr,it is very expensive to build anything in the ocean,Coût élevé de construction offshore,Construire quoi que ce soit dans l'océan coûte très cher.,0.33
fr,sand is a difficult surface to develop buildings on but it is the only place you can create sand dunes for defence,Sable,"Le sable est une surface sur laquelle il est difficile de construire, mais c'est le seul endroit où vous pouvez édifier des dunes pour vous défendre.",0.07
fr,sand is a difficult surface to develop buildings on,sable,Le sable est une surface difficile à développer.,0.19
fr,standard grass is easy to build on,Le gazon standard est facile à construire sur.,Il est facile de construire sur des herbages ordinaires.,0.56
fr,shallow water,eau peu profonde,Eaux peu profondes,0.94
fr,the only place where mangroves can grow and be planted building is impossible here,forêt de mangroves,C'est le seul endroit où les mangroves peuvent être plantées et se développer. Il est impossible de construire ici.,0.23
fr,rock,roche,Rochers,0.83
fr,rocky land is expensive to build on but is possible and usually stable if pursued,terrain rocheux,"Construire sur une terre rocailleuse est très coûteux, mais possible et généralement stable si poursuivi.",0.19
fr,flood,inondation,Inonder,0.59
fr,flood,inondation,Inonder,0.59
fr,building near water sources is sensible as these are the best firebreak,"Construire près des sources d'eau est judicieux, car ce sont les meilleures barrières contre l'incendie.",Construire près des points d'eau est judicieux car ce sont les meilleurs coupe-feux.,0.80
fr,dried and hard baked earth,terre cuite,Terre sèche et brûlée,0.56
fr,burnt land,terrain brûlé,Terre calcinée,0.59
fr,charred land from a previous forest fire in this area,terrain carbonisé,Terre carbonisée par un précédent feu de forêt dans cette région.,0.35
fr,coral is a good natural breakwater that is additionally a great attraction to tourists,Le corail est un bon pare-bord naturel qui est également une grande attraction touristique.,Le corail est un bon brise-lames naturel et en plus il attire les touristes.,0.64
fr,rocks,roches,Rochers,0.92
fr,expensive to clear and prepare,Coûteux à nettoyer et à préparer,Chers à enlever pour pouvoir construire.,0.39
fr,rocks,roches,Rochers,0.92
fr,expensive clearance costs,frais de dédouanement élevés,"Construire sur une terre rocailleuse est très coûteux, mais possible et généralement stable si poursuivi.",0.27
fr,a school provides education and also provide a central meeting point or refuge during a disaster,École comme abri d'urgence,"Outre sa mission pédagogique, une école sert également de lieu de rassemblement ou de refuge pendant une catastrophe.",0.24
fr,when people are injured during a disaster they will be transported here make sure you locate this carefully and safely,Point d'évacuation médicale,"Pendant une catastrophe, les gens blessés sont transportés à l'hôpital. Veillez à le placer en lieu sûr.",0.17
fr,the community centre is a focal point for all activity involving the community it is also the location for the early warning system and provides shelter for evacuation plans,Centre communautaire,Le centre communautaire est le lieu central pour toutes activités faisant participer la communauté. Il abrite également le système de première alerte et sert d'abri dans les plans d'évacuation.,0.19
fr,earthquake strikes,Séisme,Un tremblement de terre a frappé!,0.16
fr,earlier today an earthquake hit this mediterranean town the force of the earthquake caused buildings to collapse causing significant financial loss people who knew what to do when earthquakes strike managed to better protect themselves a survivor reported i got to the community centre as soon as i could it was already buzzing with people a good sign the warning systems did their job although the earthquake was powerful because of investment in retrofitting buildings the damage and financial loss was minimised most recent estimates show the death toll has raised to deathtoll and a further injurytoll seriously injured comment outcome,séisme,"De bonne heure aujourd'hui, un tremblement de terre a frappé cette ville de Méditerranée orientale. La puissance du séisme a provoqué l'effondrement de plusieurs immeubles, entraînant d'importantes pertes financières. Les habitants qui savaient comment réagir face à un tremblement de terre sont parvenus à mieux se protéger. Un survivant raconte : « Je me suis rendu au centre communautaire dès que j'ai pu. Il était déjà bondé, signe que les systèmes d'alerte ont bien fonctionné. » Bien que le séisme ait été puissant, les investissements engagés dans la réhabilitation des bâtiments ont permis de minimiser l'ampleur des dégâts et pertes financières. Les dernières estimations indiquent que le nombre des décès s'élève à {{DEATHTOLL}} et autres {{INJURYTOLL}} blessés graves. {{COMMENT}} {{OUTCOME}}",0.00
fr,earlier today an earthquake hit this mediterranean town the earthquake came with no warning to the residents so they had to flee from their homes if they could a survivor reported we have a community centre designed to shelter people as its a known hot spot for earthquakes but there was no warning whatsoever homes in this small community suffered enormous damage currently estimated at cost most recent estimates show the death toll has raised to deathtoll and a further injurytoll seriously injured comment outcome,séisme,"De bonne heure aujourd'hui, un tremblement de terre a frappé cette ville de Méditerranée orientale. Le séisme a frappé sans qu'aucune alerte n'ait été donnée aux habitants, qui ont dû fuir leurs maisons quand ils le pouvaient. Un survivant raconte : « Notre centre communautaire a été conçu pour abriter la population car nous nous trouvons dans un lieu propice aux séismes, mais il n'y a eu aucun signe précurseur.» Les maisons de cette petite ville ont subi d'énormes dégâts, estimés pour l'heure à ${{COST}} Les dernières estimations indiquent que le nombre des décès s'élève à {{DEATHTOLL}} et autres {{INJURYTOLL}} blessés graves. {{COMMENT}} {{OUTCOME}}",0.00
fr,questions are already being asked about the local hospitals poor planning which may have led to its destruction and the loss of many patients,"Des questions sont déjà posées concernant la mauvaise planification de l'hôpital local, ce qui pourrait avoir entraîné sa destruction et la perte de nombreux patients.",Des questions se posent déjà sur la structure de l'hôpital local qui peut avoir causé la mort de nombreux patients.,0.67
fr,this small community suffered further loss when the local school was inundated by the waves many children who were sheltering within are reported still missing,Cette petite communauté a subi des pertes supplémentaires lorsque l'école locale a été inondée par les vagues. De nombreux enfants qui s'étaient réfugiés à l'intérieur sont toujours déclarés disparus.,Cette petite ville a subi de nouvelles pertes lorsque son école a été inondée par les vagues. De nombreux enfants qui s'y abritaient sont toujours portés disparus.,0.75
fr,our community has been hit hard by these earthquakes however we should thank our recently appointed town planner for the measures that were introduced they have saved many lives,"Notre communauté a été durement touchée par ces séismes. Cependant, nous devrions remercier notre nouvel urbaniste récemment nommé pour les mesures qui ont été introduites. Ils ont sauvé de nombreuses vies.","« Notre ville a été durement touchée par ce tremblement de terre. Néanmoins, nous devons remercier notre nouveau planificateur pour les mesures qui ont été adoptées. Elles ont sauvé de nombreuses vies. »",0.76
fr,we have launched a full investigation into the poor planning our recently appointed town planner has been suspended pending the results of the report,Nous avons lancé une enquête complète sur la mauvaise planification. Notre nouvellement nommé urbaniste a été suspendu en attendant les résultats du rapport.,« Nous avons lancé une enquête approfondie sur la qualité de la structure du bâtiment. L'urbaniste récemment engagé a été suspendu en attendant les conclusions du rapport d'enquête. »,0.65
fr,trees often fall during earthquakes creating excessive damage costs to surrounding buildings,Chute d'arbre sismique,"Les arbres tombent souvent pendant les séismes, occasionnant d'énormes dégâts sur les bâtiments environnants.",0.24
