language,term,system,truth,lex_score,sem_score
fr,building reinforcement,renforcement de bâtiment,Renforcement des bâtiments,0.96,0.90
fr,local alarm system,Système d'alarme local,Système d'alerte locale,0.88,0.83
fr,protect electrics,Protection électrique,Protection des équipements électriques,0.71,0.95
fr,secure fittings,raccords sécurisés,Sécurisation des équipements,0.39,0.54
fr,retrofit the building,rétrofit du bâtiment,Mise aux normes des bâtiments,0.53,0.64
fr,anchor heavy item,objet lourd d'ancrage,Ancrage des équipements lourds,0.28,0.87
fr,raised building,bâtiment surélevé,Surélévation des bâtiments,0.42,0.84
fr,asphalt roof,toit d'asphalte,...,0.00,0.22
fr,clay roof,toit en argile,...,0.00,0.23
fr,roof sprinkler,sprinkler de toit,Arroseur de toit,0.67,0.24
fr,plywood shutters,volets en contreplaqué,...,0.00,0.45
fr,glass shutters,volets en verre,...,0.00,0.52
fr,wire shutters,volets en fil de fer,...,0.00,0.28
fr,building reinforcements,renforts structurels,Renforcement des bâtiments,0.35,0.60
fr,water tank protection,Protection des réservoirs d'eau,Protection des citernes d'eau,0.79,0.93
fr,remove fuel sources,Suppression des sources de combustible,Suppression des sources combustibles,0.95,0.99
fr,water source upgrade,Amélioration de la source d'eau,Modernisation des points d'eau,0.61,0.79
fr,secure roofing,toiture sécurisée,Sécurisation de la toiture,0.33,0.71
fr,sewer backflow,inversion d'égout,Soupape anti-reflux des eaux d'égouts,0.39,0.38
fr,storm shutters,volets pare-vents,Volets anti-tempête,0.59,0.69
fr,waterproof sealant,mastic d'étanchéité,Joints étanches,0.55,0.37
fr,ocean waves,vagues océaniques,Vagues de l'océan,0.73,0.85
fr,shallow water,eau peu profonde,Eaux peu profondes,0.94,0.75
fr,rock,roche,Rochers,0.83,0.41
fr,flood,inondation,Inonder,0.59,0.32
fr,flood,inondation,Inonder,0.59,0.32
fr,burnt land,terrain brûlé,Terre calcinée,0.59,0.58
fr,rocks,roches,Rochers,0.92,0.50
fr,rocks,roches,Rochers,0.92,0.50
fr,expensive clearance costs,frais de dédouanement élevés,"Construire sur une terre rocailleuse est très coûteux, mais possible et généralement stable si poursuivi.",0.27,0.43
fr,earthquake strikes,Séisme,Un tremblement de terre a frappé!,0.16,0.30
fr,brick cottage,maison en briques,Résidence en briques,0.70,0.84
fr,old house,Maison ancienne,Vieille maison,0.41,0.98
fr,old town house,Maison de la vieille ville,Vieille maison de ville,0.61,0.98
fr,old terraced house,ancienne maison mitoyenne,Ancienne bande de terrain en terrasse,0.52,0.61
fr,large house,maison de grande taille,Grande maison,0.50,0.94
fr,commercial block,Bloc commercial,Centre commercial,0.75,0.75
fr,tsunami strikes,Tsunami frappe !,Un tsunami a frappé!,0.85,0.97
fr,shrubs,Arbuste,Arbustes,0.93,0.97
fr,logs,journaux,Bûches,0.14,0.52
fr,sand dunes,dunes de sable,Dune,0.44,0.94
fr,large rocks,roches de grande taille,Gros rochers,0.34,0.76
fr,small rocks,petites roches,Petits rochers,0.93,0.88
fr,bamboo hut,hutte de bambou,Hutte en bambou,0.93,0.87
fr,hotel cabins,cabine d'hôtel,Cabanes d'hôtel,0.89,0.96
fr,timber house,maison à ossature bois,Maison en bois,0.72,0.98
fr,breakwater,môle,Brise-lames,0.29,0.53
fr,flash floods,inondation flash,De brusques inondations!,0.56,0.78
fr,farm land,terrain agricole,Terre agricole,0.87,0.98
fr,brick cottage,maison en briques,Résidences en briques,0.68,0.89
fr,commercial block,Bloc commercial,Centre commercial,0.75,0.75
fr,wetlands,zones humides,Marais,0.11,0.10
fr,earth levee,barrière de terre,Remblais de terre,0.65,0.73
fr,rock dyke,dit,Digue de rochers,0.21,0.55
fr,1 meter wall,Mur d'un mètre,Mur de 1 mètre,0.81,0.96
fr,drainage ditch,tranchée de drainage,Fossé de drainage,0.70,0.91
fr,wildfire strikes,Incendie forestier,Un feu de forêt a frappé !,0.52,0.92
fr,rocks,roches,Rochers,0.92,0.50
fr,4 bedroom house,Maison à quatre chambres,Maison de 4 chambres,0.77,0.98
fr,6 bedroom house,maison de six chambres,Maison de 6 chambres,0.90,0.99
fr,water tower,tour d'eau,Château d'eau,0.67,0.70
fr,firebreaks,trou de feu,Coupe-feux,0.60,0.58
fr,dry bushes,buissons secs,Brousse sèche,0.62,0.64
fr,hurricane strikes,Attaque d'ouragan,Un ouragan a frappé !,0.51,0.89
fr,banana trees,bananier,Bananiers,0.94,0.72
fr,minimal clearance costs,coûts de dédouanement minimaux,Des frais minimum de débroussaillage s'appliquent.,0.36,0.83
fr,logs,journaux,Bûches,0.14,0.52
fr,shrubs,Arbuste,Arbustes,0.93,0.97
fr,sand dune,dune de sable,Dune,0.47,0.92
fr,rocks,roches,Rochers,0.92,0.50
fr,an empty pier,quai vide,Jetée vide,0.53,0.86
fr,large hut,Grande cabane,Grande hutte,0.64,0.87
fr,brick cottage,maison en briques,Résidence en briques,0.70,0.84
fr,timber house,maison à ossature bois,Maison en bois,0.72,0.98
fr,oil drum,bidon,Baril d'essence,0.42,0.28
fr,telephone pole,Poteau téléphonique,Poteau télégraphique,0.87,0.68
fr,revetments,revêtements,Murs d'épaulement,0.52,0.59
fr,seawall,barrage côtier,Digue,0.21,0.41
fr,stop,STOP,ARRÊTER,0.18,0.40
fr,disasters,catastrophes,LES CATASTROPHES,0.86,0.24
fr,play,Jeu,Jouer,0.50,0.78
fr,time mins,minutes,{{TIME}} min.,0.40,0.73
fr,share,part,Partager,0.67,0.82
fr,off,Éteint,ARRÊT,0.36,0.80
fr,on,ON,MARCHE,0.00,0.66
fr,language  currentlang,langue,Langue - {{CURRENTLANG}},0.48,0.59
fr,warning,avertissement,Alerte,0.53,0.90
fr,overview,Vue d'ensemble,Aperçu,0.11,0.87
fr,restart,redémarrage,Redémarrer,0.86,0.85
fr,home,domicile,Accueil,0.40,0.79
fr,back,arrière,Retour,0.31,0.65
fr,buy cost,Coût d'achat,Acheter {{COST}},0.35,0.60
fr,scroll up,défilement vers le haut,Défiler vers le haut,0.88,0.81
fr,scroll down,Défilement vers le bas,Défiler vers le bas,0.88,0.91
fr,demolish structure,démolition de structure,Démolir la structure,0.79,0.91
fr,develop defences,Développement de défenses,Construire des défences,0.50,0.78
fr,develop buildings,développement de bâtiments,Construire des bâtiments,0.56,0.95
fr,upgrade buildings,mise à niveau des bâtiments,Améliorer les bâtiments,0.64,0.88
fr,repeat last purchase,Répétition du dernier achat,Répétez votre dernier achat,0.74,0.89
fr,view tile information,Afficher les informations de la tuile,Afficher l'information de cette case,0.75,0.55
fr,share via email,Partager par e‑mail,Partager par courriel,0.75,0.90
fr,get involved,Participer,Impliquez-vous,0.26,0.73
fr,take survey,répondre à un sondage,Répondre à l'enquête,0.65,0.57
fr,furniture and equipment,Mobilier et équipements,Mobilier et équipement,0.98,0.96
fr,inventory and stock,inventaire et stocks,Inventaire et stock,0.97,0.91
fr,furniture and equipment,Mobilier et équipements,Mobilier et équipement,0.98,0.96
fr,assets  road infrastructure,Actifs - Infrastructures routières,Actifs - Infrastructure routière,0.97,0.99
fr,furniture and equipment,Mobilier et équipements,Mobilier et équipement,0.98,0.96
fr,furniture and equipment,Mobilier et équipements,Mobilier et équipement,0.98,0.96
fr,furniture and equipment,Mobilier et équipements,Mobilier et équipement,0.98,0.96
fr,furniture and equipment,Mobilier et équipements,Mobilier et équipement,0.98,0.96
fr,assets  equipments,Équipements,Actifs - équipements,0.73,0.62
fr,assets  road infrastructure,Actifs - Infrastructures routières,Actifs - Infrastructure routière,0.97,0.99
fr,assets  equipments,Équipements,Actifs - équipements,0.73,0.62
fr,furniture and equipment,Mobilier et équipements,Mobilier et équipement,0.98,0.96
fr,assets  road infrastructure,Actifs - Infrastructures routières,Actifs - Infrastructure routière,0.97,0.99
fr,furniture and equipment,Mobilier et équipements,Mobilier et équipement,0.98,0.96
fr,assets  road infrastructure,Actifs - Infrastructures routières,Actifs - Infrastructure routière,0.97,0.99
fr,assets  road infrastructure,Actifs - Infrastructures routières,Actifs - Infrastructure routière,0.97,0.99
fr,assets  road infrastructure,Actifs - Infrastructures routières,Actifs - Infrastructure routière,0.97,0.99
fr,assets  equipments,Équipements,Actifs - équipements,0.73,0.62
fr,assets  road infrastructure,Actifs - Infrastructures routières,Actifs - Infrastructure routière,0.97,0.99
fr,inventory and stock,inventaire et stocks,Inventaire et stock,0.97,0.91
fr,assets  road infrastructure,Actifs - Infrastructures routières,Actifs - Infrastructure routière,0.97,0.99
fr,inventory and stock,inventaire et stocks,Inventaire et stock,0.97,0.91
fr,furniture and equipment,Mobilier et équipements,Mobilier et équipement,0.98,0.96
fr,furniture and equipment,Mobilier et équipements,Mobilier et équipement,0.98,0.96
fr,assets  equipments,Équipements,Actifs - équipements,0.73,0.62
fr,furniture and equipment,Mobilier et équipements,Mobilier et équipement,0.98,0.96
fr,assets  equipments,Équipements,Actifs - équipements,0.73,0.62
fr,metering systems,systèmes de mesure,Systèmes de comptage,0.74,0.70
fr,handdug wells,puits à main,Main-dug wells,0.32,0.42
fr,electricity transmission underground,Transmission souterraine d'électricité,Transport souterrain d'électricité,0.86,0.92
fr,graders,noteur,Élèves du primaire,0.25,0.65
fr,pipelines oil  oleduct,oléduct,Oléoducs pétrole - oléoducs,0.42,0.71
fr,pollytecnic institute,Institut polytechnique,Institut Pollytecnic,0.86,0.70
fr,kitchen appliances,appareils électroménagers de cuisine,Appareils de cuisine,0.71,0.55
fr,internal roads,route intérieure,routes intérieures,0.94,0.96
fr,intake structures,structure d'admission,Structures d'admission,0.98,0.96
fr,lemons and limes,citron et lime,Citrons et limes,0.93,0.94
fr,grapefruit  pomelo,pamplemousse,Pamplemousse et pomelo,0.71,0.74
fr,driling rigs offshore,plateforme de forage offshore,Plates-formes de forage en mer,0.76,0.67
fr,cucumbers,concombre,Concombres,0.95,0.94
fr,specialized equipment,Équipement spécialisé,Matériel spécialisé,0.70,0.75
fr,small earthen dam,petit barrage de terre,petit barrage en terre,0.95,0.98
fr,vehicles  management,Gestion des véhicules,Véhicules - gestion,0.46,0.43
fr,technological platforms,plateformes technologiques,Plates-formes technologiques,0.98,0.87
fr,generation plants,centrale électrique,Centrales de production,0.62,0.59
fr,strawberries,fraise,Fraises,0.92,0.36
fr,deep tube wells,puits tubulaire profond,puits tubulaires profonds,0.96,0.96
fr,bulldozers,bulldozer,Bulldozers,0.95,0.94
fr,oil palms,palme à huile,Palmiers à huile,0.90,0.97
fr,completion systems,Système de complétion,Systèmes d'achèvement,0.63,0.80
fr,water reservoirs,réservoir d'eau,réservoirs d'eau,0.97,0.98
fr,police stations,postes de police,Commissariats de police,0.72,0.84
fr,pipelines gas gaseoduct,gazoduc,Gazoducs gaz-gazoducs,0.52,0.39
fr,railcars,wagon,Wagons,0.91,0.86
fr,tv studios,studio de télévision,Studios de télévision,0.98,0.97
fr,community shops,magasin communautaire,magasins communautaires,0.95,0.95
fr,drilling machinery,équipement de forage,Machines de forage,0.58,0.77
fr,asparagus,asperge,Asperges,0.93,0.94
fr,conveyor system,système de convoyeur,Système de convoyage,0.90,0.89
fr,public toilets,toilettes publiques,Public toilets,0.42,0.95
fr,turnips,navet,Navets,0.91,0.79
fr,french drains,drainage français,Drains français,0.88,0.96
fr,onions incl shallots,oignons (incluant les échalotes),Oignons (y compris échalotes),0.70,0.95
fr,decentralized plants,centrales décentralisées,Installations décentralisées,0.77,0.80
fr,office space,espace de bureau,Espace de bureaux,0.97,0.93
fr,drill wells,forage de puits,Puits de forage,0.40,0.62
fr,pump jacks,pompe à palan,Crics de pompe,0.37,0.82
fr,plums and sloes,prunes et prune du prunellier,Prunes et prunelles,0.75,0.88
fr,color grading labs,laboratoires de correction des couleurs,Laboratoires d'étalonnage,0.60,0.56
fr,septic tanks,réservoir septique,Fosses septiques,0.65,0.64
fr,coconuts,coco,Noix de coco,0.50,0.92
fr,tribunal facilities,installations judiciaires,Installations du Tribunal,0.68,0.90
fr,crushing machinery,équipements de concassage,Machines de broyage,0.45,0.80
fr,small embankments,petite digue,petits remblais,0.52,0.90
fr,furniture,mobilier,Furniture,0.24,0.90
fr,distribution warehouses,entrepôt de distribution,Entrepôts de distribution,0.98,0.96
fr,community telephone centers,centre téléphonique communautaire,centres téléphoniques communautaires,0.96,0.96
fr,nutmeg mace cardamoms,"Noix de muscade, macre, cardamome","Muscade, macis, cardamome",0.78,0.83
fr,boards,Cartes de circuit imprimé,Conseil d'administration,0.29,0.25
fr,electronic health records,Dossier de santé électronique,Dossiers médicaux électroniques,0.77,0.82
fr,student dorms,dortoirs universitaires,Dortoirs pour étudiants,0.52,0.79
fr,pathways,chemins,voies d'accès,0.32,0.63
fr,pile drivers,marteaux à pieux,Conducteurs de pieux,0.56,0.61
fr,mine shafts,trou de mine,Puits de mine,0.72,0.91
fr,biogassifiers,digesteurs anaérobies,biogasseurs,0.44,0.48
fr,pigeno peas,pois de pigeon,Pois Pigeno,0.80,0.45
fr,yams,ignames,Igname,0.92,0.85
fr,leguminous crops nec,Cultures légumineuses n.e.c.,Légumineuses n.c.a.,0.73,0.72
fr,printing presses,presses d'impression,Presses d'imprimerie,0.79,0.97
fr,technological equipment,Équipement technologique,Équipements technologiques,0.96,0.96
fr,cinnamon canella,Cannelle,Cannelle (canella),0.67,0.71
fr,equiments,équipement,Equiments,0.84,0.32
fr,historic buildings,bâtiment historique,Bâtiments historiques,0.95,0.79
fr,other cereals nec,"Autres céréales, n.e.c.","Autres céréales, n.c.a.",0.95,0.98
fr,rainage structures,structures de drainage pluvial,structures de drainage,0.85,0.94
fr,other nuts nec,Autres NUTS n.e.c.,Autres fruits à coque n.c.a.,0.65,0.74
fr,mate,mat,Mate,0.86,0.70
fr,letrines,letri,Letrines,0.77,0.60
fr,niger seed,graines de Niger,Semences du Niger,0.67,0.82
fr,hazelnuts,noisettes,Hazelnuts,0.22,0.26
fr,mechanized wells,puits mécanisé,Puits mécanisés,0.97,0.80
fr,small marketplaces,petits marchés,petites places de marché,0.68,0.91
fr,school dispensaire nurse,infirmier scolaire,Dispensaire scolaire/ infirmière,0.41,0.84
fr,water quality laboratories,laboratoires d'analyse de la qualité de l'eau,Laboratoires de la qualité de l'eau,0.88,0.97
fr,vanilla,vanilla,Vanille,0.86,0.89
fr,artifacts,artefact,Artéfacts,0.94,0.93
fr,concrete mixers,mélangeur à béton,Bétonnières,0.36,0.33
fr,electricity transmission underwater,transmission électrique sous-marine,Transport d'électricité sous l'eau,0.64,0.78
fr,production platforms,Plateformes de production,Plates-formes de production,0.98,0.98
fr,carrots,carotte,Carottes,0.93,0.85
fr,applicance,appareil,Application,0.53,0.53
fr,jetties,jetée,jetées,0.91,0.87
fr,storefronts,Points de vente en ligne,Vitrines,0.19,0.19
fr,other equipments,Équipements divers,Autres équipements,0.61,0.40
fr,recording studios,studio d'enregistrement,Studios d'enregistrement,0.98,0.97
fr,welleheads,Welleheads,Les têtes de bétail,0.28,0.53
fr,laboratory diagnostic equipments,Équipements de diagnostic en laboratoire,Équipements de diagnostic de laboratoire,0.97,0.99
fr,light passenger,véhicule léger à passagers,Passagers légers,0.43,0.76
fr,linseed,lin,Linseed,0.60,0.75
fr,binding machines,machines de reliure,Machines à relier,0.83,0.83
fr,faculty,corps professoral,Faculté,0.17,0.71
fr,ground extraction systems,système d'extraction du sol,Systèmes d'extraction du sol,0.98,0.89
fr,cow peas,coucou,Pois de vache,0.11,0.47
fr,saunas,sauna,Saunas,0.91,0.95
fr,other electronics,Électroniques diverses,Autres produits électroniques,0.51,0.70
fr,pumping systems surface,Surface des systèmes de pompage,Systèmes de pompage en surface,0.62,0.90
fr,sugar beet,betterave sucrière,Betterave à sucre,0.86,0.35
fr,beans,JavaBeans,Haricots,0.24,0.31
fr,scanners,scanner,Scanners,0.93,0.88
fr,tangerines mandarins clementines,mandarines,"Mandarines, mandarines, clémentines",0.47,0.86
fr,excavators,excavatrice,Pelles,0.24,0.39
fr,compressors,compresseur,Compresseurs,0.96,0.95
fr,school sanitation facilities,installations sanitaires scolaires,Installations sanitaires dans les écoles,0.84,0.96
fr,day care center,centre de garde d'enfants,Centre d'accueil de jour,0.55,0.59
fr,processing plants,site de traitement,Usines de transformation,0.57,0.21
fr,forklifts,chariot élévateur,Chariots élévateurs,0.94,0.73
fr,concrete pump trucks,camion-pompe de béton,Camions-pompes à béton,0.88,0.80
fr,workshops,atelier,Ateliers,0.93,0.92
fr,landmark,marqueur,Point de repère,0.26,0.73
fr,laundry appliances,appareils de lavage,Appareils de buanderie,0.73,0.31
fr,playgrounds,aires de jeux,terrains de jeux,0.76,0.75
fr,nutmeg mace cardamoms,"Noix de muscade, macre, cardamome","Muscade, macis, cardamome",0.78,0.83
fr,large passenger bus,autobus de grande capacité,Grand autobus de passagers,0.54,0.95
fr,aerial telephone lines,câbles téléphoniques aériens,Lignes téléphoniques aériennes,0.86,0.85
fr,kitchens,cuisines,Kitchens,0.25,0.72
fr,cinnamon canella,Cannelle,Cannelle (canella),0.67,0.71
fr,weirs,déversoir,seuils,0.27,0.84
fr,dams,barrage,Barrages,0.93,0.90
fr,tanks,réservoir,Réservoirs,0.95,0.96
fr,drains,égouts,drains,0.17,0.43
fr,box culverts,culvert en boîte,ponceaux en caisson,0.40,0.60
fr,laundry facilities,installations de blanchisserie,Blanchisserie,0.60,0.59
fr,blood banks,banco de sang,Banques de sang,0.79,0.96
fr,walkways,passerelle,passerelles,0.95,0.89
fr,books,livre,Livres,0.91,0.93
fr,houseboats,bateau-maison,Bateaux-logements,0.57,0.48
fr,pump houses,bâtiment de pompage,les stations de pompage,0.71,0.91
fr,parliament house,Palais du Parlement,Maison du Parlement,0.84,0.92
fr,monuments,Monument,Monuments,0.94,0.96
fr,sheds,cabanons,hangars,0.40,0.54
fr,mobile treatment units,unités mobiles de traitement,Unités de traitement mobiles,0.71,0.95
fr,primary health centers,Centre de santé primaire,Centres de santé primaires,0.96,0.98
fr,community water supply,système d'approvisionnement en eau communautaire,approvisionnement en eau de la communauté,0.80,0.95
fr,newspapers,journal,Journaux,0.80,0.66
fr,solar pv,Panneaux photovoltaïques solaires,PV solaire,0.47,0.89
fr,associated energy supplies,fournitures d'énergie associées,Approvisionnements énergétiques associés,0.60,0.92
fr,medium passenger services,services de transport de passagers de moyenne distance,Services de transport de passagers moyens,0.86,0.90
fr,student residences,Résidences universitaires,Résidences pour étudiants,0.56,0.88
fr,assembly lines,ligne d'assemblage,Lignes d'assemblage,0.97,0.73
fr,boreholdes,Boreholdes,Forages,0.47,0.57
fr,footbridges,passerelle,passerelles,0.95,0.89
fr,castor bean,haricot de castor,Graine de ricin,0.44,0.43
fr,sweet potatoes,patate douce,Patates douces,0.92,0.96
fr,sludge transports,transports de boues,Transport de boues,0.97,0.99
fr,raw material,matière première,Matières premières,0.94,0.55
fr,cauliflowers  broccoli,chou-fleur et brocoli,Choux-fleurs et brocolis,0.93,0.81
fr,online storefronts,magasin en ligne,Vitrines en ligne,0.67,0.50
fr,sugar beet seeds,semences de betterave sucrière,Graines de betterave sucrière,0.85,0.83
fr,house trailers,maison mobile,Remorques de maison,0.38,0.63
fr,cherries  sour cherries,cerises et cerises aigres,Cerises et cerises acides,0.92,0.48
fr,outpatient centers,centre ambulatoire,Outpatient centers,0.28,0.66
fr,gyms,salles de sport,Gymnases,0.26,0.75
fr,regasification terminals,terminal de régazéification,Terminaux de regazéification,0.95,0.63
fr,school water facilities,installations d'approvisionnement en eau scolaire,Installations hydrauliques scolaires,0.64,0.80
fr,merchandise,marchandise,Marchandises,0.96,0.71
fr,chairs,président,Chaises,0.25,0.36
fr,milling machines,machines à fraisage,Machines à fraiser,0.92,0.50
fr,recreation grounds,terrain de loisirs,Terrains de loisirs,0.97,0.94
fr,boat houses,hôtel de bateaux,Hangars à bateaux,0.61,0.70
fr,fire trucks,camion de pompiers,Camions de pompiers,0.97,0.86
fr,driling rigs onshore,trépignoir de forage terrestre,Plates-formes de forage à terre,0.63,0.74
fr,water sources,source d'eau,Sources d'eau,0.96,0.95
fr,haul tracks,piste de convoyage,Chemins de roulement,0.42,0.68
fr,handling machineries,équipements de manutention,Machines de manutention,0.69,0.85
fr,inroom appliances,Appareils de chambre,Appareils ménagers dans les chambres,0.71,0.87
fr,gooseberries,groseilles,Groseilles à maquereau,0.62,0.82
fr,batteries,batteries,Piles,0.43,0.17
fr,chestnuts,châtaignes,Marrons,0.35,0.72
fr,forage products nec,"Produits de fourrage, autres","Produits fourragers, n.c.a.",0.76,0.51
fr,protection walls,mur de protection,murs de protection,0.97,0.96
fr,turbines,turbine,Turbines,0.93,0.94
fr,eggplants  aubergines,aubergines,Eggplants ( aubergines),0.65,0.59
fr,kindergarden,école maternelle,Jardin d'enfants,0.19,0.70
fr,graveyards,cimetière,cimetières,0.95,0.99
fr,stalls,stagnation,Stations,0.78,0.19
fr,sound stages,plateaux de tournage,Scènes de son,0.42,0.32
fr,backhoes,pelle à benne,Pelleteuses,0.58,0.74
fr,editing hardwarde,Matériel d'édition,Editer hardwarde,0.24,0.42
fr,shelter,hébergement,Abri,0.27,0.55
fr,marketing facilities,infrastructures de marketing,installations de commercialisation,0.48,0.78
fr,kiwi fruit,kiwi,Kiwi fruit,0.57,0.64
fr,pipe culverts,culvert en tuyau,ponceaux à tuyaux,0.55,0.76
fr,other connective,autre connecteur logique,Autres éléments conjonctifs,0.51,0.59
fr,post production facilities,installations de post‑production,Installations de post-production,0.98,0.96
fr,colections,Collections,Recueils,0.42,0.48
fr,sewage pipelines,conduites d'égout,Canalisations d'eaux usées,0.39,0.35
fr,fishing engines,moteur de pêche,Moteurs de pêche,0.97,0.84
fr,cameras,caméra,Caméras,0.92,0.95
fr,record storage sites,site de stockage des dossiers,Sites de stockage d'archives,0.71,0.82
fr,pumps,pompe,Pompes,0.91,0.63
fr,correctionaries,correctionnaires,Correctionnels,0.87,0.43
fr,vacuum trucks,camion d'aspiration,Camions-aspirateurs,0.72,0.58
fr,asphalt pavers,ponceuse d'asphalte,Pavés en asphalte,0.63,0.83
fr,restaurants,restaurant,Restaurants,0.95,0.95
fr,raspberries,framboise,Framboises,0.95,0.77
fr,students libraries,bibliothèques étudiantes,Bibliothèques des étudiants,0.90,0.97
fr,fishing gear,équipement de pêche,Matériel de pêche,0.67,0.88
fr,scaffolding,échafaudage,Échafaudages,0.96,0.93
fr,protection of slopes,Protection des talus,protection des pentes,0.83,0.53
fr,major fixtures,composants majeurs,Principaux équipements,0.25,0.67
fr,pipes,tuyau,Pipes,0.00,0.35
fr,water trucks,camion d'eau,Camions-citernes,0.54,0.13
fr,school gymnasium,gymnase scolaire,Gymnase de l'école,0.73,0.86
fr,fishing vesselsboats,vaisseaux de pêche,Bateaux de pêche,0.82,0.89
fr,treatment plants,station d'épuration,Stations d'épuration,0.97,0.96
fr,school cafeteria,cantine scolaire,Cafétéria de l'école,0.57,0.74
fr,vanilla,vanilla,Vanille,0.86,0.89
fr,studios music,musique de studio,Musique des studios,0.94,0.94
fr,distribution centers,centre de distribution,Centres de distribution,0.98,0.98
fr,pipeline network,réseau de tuyauterie,Réseau de pipelines,0.67,0.79
fr,grinding machinery,machines de meulage,Machines de broyage,0.79,0.90
fr,batching plants,centrale de dosage de béton,Installations de dosage,0.56,0.52
fr,river intakes,prélèvements de rivière,prises d'eau dans les rivières,0.58,0.91
fr,shopping centers,centre commercial,Centres commerciaux,0.89,0.89
fr,tunnels,tunnel,Tunnels,0.92,0.96
fr,prisons,prison,Prisons,0.92,0.97
fr,wells,puits,Wells,0.20,0.48
fr,rollers,rouleau,Rollers,0.57,0.39
fr,room furnishing,Mobilier,Ameublement de la chambre,0.30,0.51
fr,movie studios,studio cinématographique,Studios de cinéma,0.63,0.96
fr,parking facilities,installations de stationnement,Facilités de stationnement,0.71,0.95
fr,spinach,épinard,Épinards,0.93,0.91
fr,mobile manufactured houses,maison mobile,Maisons mobiles ou préfabriquées,0.58,0.85
fr,water,eau,L'eau,0.86,0.97
fr,water,eau,L'eau,0.86,0.97
